"Date","Price","Open","High","Low","Vol.","Change %"
"10/02/2022","1,230.88","1,216.92","1,285.31","1,216.16","","2.06%"
"09/25/2022","1,206.01","1,197.30","1,227.45","1,182.82","","-0.73%"
"09/18/2022","1,214.88","1,288.68","1,307.07","1,207.06","","-6.77%"
"09/11/2022","1,303.09","1,357.09","1,368.81","1,298.09","","-2.82%"
"09/04/2022","1,340.97","1,273.82","1,341.90","1,273.82","","5.27%"
"08/28/2022","1,273.82","1,306.22","1,316.17","1,258.32","","-2.71%"
"08/21/2022","1,309.24","1,330.95","1,343.50","1,309.22","","-2.38%"
"08/14/2022","1,341.11","1,370.90","1,374.87","1,340.41","","-2.83%"
"08/07/2022","1,380.10","1,337.89","1,380.98","1,337.89","","3.59%"
"07/31/2022","1,332.26","1,335.42","1,342.28","1,316.67","","-0.48%"
"07/24/2022","1,338.62","1,312.03","1,338.62","1,299.23","","3.13%"
"07/17/2022","1,298.04","1,273.27","1,308.71","1,269.28","","2.76%"
"07/10/2022","1,263.14","1,267.25","1,268.89","1,227.22","","-1.48%"
"07/03/2022","1,282.06","1,293.76","1,293.76","1,241.77","","-0.91%"
"06/26/2022","1,293.77","1,322.10","1,335.50","1,276.45","","-2.07%"
"06/19/2022","1,321.14","1,296.70","1,321.38","1,274.81","","1.88%"
"06/12/2022","1,296.70","1,335.25","1,335.25","1,291.21","","-5.07%"
"06/05/2022","1,366.01","1,459.30","1,463.68","1,361.84","","-5.68%"
"05/29/2022","1,448.25","1,459.76","1,466.67","1,435.30","","-0.79%"
"05/22/2022","1,459.73","1,414.19","1,460.03","1,413.29","","4.60%"
"05/15/2022","1,395.51","1,376.16","1,412.97","1,374.34","","1.24%"
"05/08/2022","1,378.46","1,388.42","1,398.16","1,336.89","","-2.25%"
"05/01/2022","1,410.16","1,444.76","1,465.59","1,399.72","","-2.59%"
"04/24/2022","1,447.71","1,484.95","1,493.64","1,445.39","","-3.56%"
"04/17/2022","1,501.19","1,549.22","1,553.33","1,499.23","","-3.15%"
"04/10/2022","1,550.07","1,560.27","1,560.32","1,535.90","","-0.67%"
"04/03/2022","1,560.48","1,566.17","1,571.40","1,538.98","","-0.49%"
"03/27/2022","1,568.12","1,545.57","1,578.84","1,538.37","","1.28%"
"03/20/2022","1,548.25","1,531.96","1,549.36","1,521.05","","1.03%"
"03/13/2022","1,532.41","1,452.12","1,532.73","1,440.47","","6.93%"
"03/06/2022","1,433.05","1,425.50","1,480.68","1,383.02","","0.28%"
"02/27/2022","1,429.06","1,506.53","1,521.19","1,419.51","","-6.71%"
"02/20/2022","1,531.90","1,560.03","1,560.03","1,464.08","","-1.80%"
"02/13/2022","1,560.03","1,575.77","1,604.99","1,557.79","","-1.52%"
"02/06/2022","1,584.16","1,569.57","1,627.74","1,568.58","","0.99%"
"01/30/2022","1,568.65","1,543.60","1,590.14","1,542.90","","1.36%"
"01/23/2022","1,547.58","1,540.53","1,566.58","1,507.52","","-1.72%"
"01/16/2022","1,574.74","1,631.56","1,631.56","1,572.03","","-3.48%"
"01/09/2022","1,631.56","1,606.09","1,641.90","1,590.58","","0.59%"
"01/02/2022","1,622.03","1,620.01","1,628.08","1,598.61","","0.06%"
"12/26/2021","1,621.04","1,627.98","1,642.89","1,610.30","","-0.41%"
"12/19/2021","1,627.69","1,586.94","1,633.53","1,552.66","","1.61%"
"12/12/2021","1,601.90","1,560.31","1,612.02","1,528.78","","2.07%"
"12/05/2021","1,569.38","1,511.12","1,569.87","1,509.87","","3.23%"
"11/28/2021","1,520.27","1,533.99","1,544.52","1,483.44","","-0.02%"
"11/21/2021","1,520.53","1,586.80","1,592.98","1,512.02","","-4.38%"
"11/14/2021","1,590.22","1,648.88","1,648.88","1,582.70","","-2.71%"
"11/07/2021","1,634.57","1,644.58","1,659.80","1,612.47","","-0.39%"
"10/31/2021","1,641.00","1,606.62","1,648.74","1,601.06","","1.97%"
"10/24/2021","1,609.32","1,629.39","1,652.96","1,595.52","","-2.06%"
"10/17/2021","1,643.11","1,622.21","1,647.79","1,614.03","","1.58%"
"10/10/2021","1,617.51","1,580.87","1,621.09","1,579.72","","2.39%"
"10/03/2021","1,579.71","1,571.77","1,587.03","1,548.83","","0.61%"
"09/26/2021","1,570.14","1,588.37","1,596.89","1,559.17","","-1.38%"
"09/19/2021","1,592.07","1,568.19","1,610.50","1,549.04","","-0.14%"
"09/12/2021","1,594.38","1,628.07","1,643.21","1,588.85","","-1.63%"
"09/05/2021","1,620.77","1,664.52","1,664.52","1,619.97","","-2.63%"
"08/29/2021","1,664.52","1,657.45","1,665.63","1,654.60","","0.39%"
"08/22/2021","1,658.10","1,633.44","1,660.07","1,633.44","","2.00%"
"08/15/2021","1,625.55","1,669.96","1,669.96","1,616.99","","-2.77%"
"08/08/2021","1,671.80","1,638.65","1,674.38","1,638.65","","2.28%"
"08/01/2021","1,634.48","1,633.23","1,651.24","1,630.13","","0.84%"
"07/25/2021","1,620.84","1,593.72","1,634.62","1,593.72","","1.89%"
"07/18/2021","1,590.71","1,601.02","1,601.02","1,555.04","","-0.64%"
"07/11/2021","1,601.02","1,611.84","1,620.84","1,600.10","","-0.70%"
"07/04/2021","1,612.27","1,604.98","1,615.75","1,582.19","","0.45%"
"06/27/2021","1,604.98","1,610.63","1,612.86","1,594.93","","-0.26%"
"06/20/2021","1,609.17","1,572.30","1,612.16","1,572.30","","2.46%"
"06/13/2021","1,570.48","1,644.03","1,645.16","1,568.43","","-4.36%"
"06/06/2021","1,642.13","1,624.91","1,644.31","1,624.01","","1.08%"
"05/30/2021","1,624.54","1,606.34","1,625.43","1,606.34","","1.13%"
"05/23/2021","1,606.34","1,598.34","1,608.39","1,594.58","","0.62%"
"05/16/2021","1,596.51","1,594.28","1,609.87","1,565.76","","-0.06%"
"05/09/2021","1,597.50","1,619.60","1,622.02","1,561.72","","-0.75%"
"05/02/2021","1,609.62","1,554.69","1,610.11","1,535.62","","4.46%"
"04/25/2021","1,540.84","1,560.10","1,564.60","1,538.74","","-0.75%"
"04/18/2021","1,552.46","1,564.59","1,568.70","1,533.67","","-0.71%"
"04/11/2021","1,563.58","1,540.93","1,564.56","1,530.72","","1.40%"
"04/04/2021","1,541.95","1,524.98","1,544.37","1,522.22","","1.87%"
"03/28/2021","1,513.60","1,491.30","1,513.66","1,487.44","","1.54%"
"03/21/2021","1,490.66","1,509.94","1,514.28","1,454.49","","-1.18%"
"03/14/2021","1,508.50","1,520.67","1,536.45","1,501.46","","-0.74%"
"03/07/2021","1,519.77","1,469.92","1,523.51","1,467.75","","3.54%"
"02/28/2021","1,467.83","1,472.97","1,491.22","1,439.34","","0.18%"
"02/21/2021","1,465.17","1,502.04","1,520.05","1,458.37","","-3.23%"
"02/14/2021","1,514.05","1,500.07","1,520.88","1,491.84","","0.67%"
"02/07/2021","1,503.96","1,477.99","1,506.21","1,475.77","","2.60%"
"01/31/2021","1,465.79","1,406.24","1,466.46","1,406.24","","4.23%"
"01/24/2021","1,406.24","1,464.37","1,467.01","1,398.49","","-4.37%"
"01/17/2021","1,470.44","1,496.22","1,496.22","1,464.80","","-0.30%"
"01/10/2021","1,474.82","1,473.84","1,498.70","1,464.30","","-0.87%"
"01/03/2021","1,487.74","1,458.12","1,494.33","1,436.23","","3.33%"
"12/27/2020","1,439.75","1,430.24","1,447.20","1,427.93","","1.56%"
"12/20/2020","1,417.63","1,407.68","1,421.19","1,384.60","","-1.00%"
"12/13/2020","1,431.95","1,398.06","1,438.66","1,393.10","","3.01%"
"12/06/2020","1,390.08","1,387.00","1,404.00","1,380.56","","-0.10%"
"11/29/2020","1,391.47","1,350.08","1,397.46","1,330.79","","3.53%"
"11/22/2020","1,344.09","1,320.60","1,345.79","1,315.76","","2.14%"
"11/15/2020","1,315.90","1,312.41","1,328.10","1,306.51","","1.42%"
"11/08/2020","1,297.42","1,270.30","1,298.34","1,270.30","","4.90%"
"11/01/2020","1,236.84","1,140.83","1,240.23","1,140.83","","9.32%"
"10/25/2020","1,131.37","1,197.75","1,199.74","1,118.88","","-6.22%"
"10/18/2020","1,206.43","1,210.19","1,212.04","1,189.44","","0.12%"
"10/11/2020","1,205.03","1,236.26","1,240.74","1,188.23","","-2.37%"
"10/04/2020","1,234.28","1,192.53","1,235.74","1,192.53","","3.88%"
"09/27/2020","1,188.19","1,181.61","1,190.54","1,178.20","","1.08%"
"09/20/2020","1,175.48","1,245.36","1,245.36","1,159.95","","-5.61%"
"09/13/2020","1,245.38","1,240.71","1,260.98","1,240.22","","0.85%"
"09/06/2020","1,234.93","1,227.70","1,247.37","1,206.65","","0.59%"
"08/30/2020","1,227.70","1,235.21","1,247.14","1,210.87","","-0.62%"
"08/23/2020","1,235.30","1,232.63","1,237.67","1,223.23","","1.74%"
"08/16/2020","1,214.14","1,229.61","1,240.80","1,208.44","","-0.66%"
"08/09/2020","1,222.19","1,204.49","1,236.29","1,204.49","","1.45%"
"08/02/2020","1,204.77","1,195.53","1,224.15","1,195.53","","1.57%"
"07/26/2020","1,186.18","1,215.67","1,233.94","1,181.53","","-1.94%"
"07/19/2020","1,209.65","1,214.41","1,237.72","1,204.76","","-0.28%"
"07/12/2020","1,213.06","1,202.71","1,223.82","1,189.89","","1.51%"
"07/05/2020","1,194.99","1,179.47","1,200.84","1,177.65","","1.32%"
"06/28/2020","1,179.47","1,153.15","1,187.67","1,150.11","","2.35%"
"06/21/2020","1,152.35","1,173.63","1,201.28","1,151.56","","-1.55%"
"06/14/2020","1,170.55","1,134.81","1,183.87","1,131.18","","2.11%"
"06/07/2020","1,146.34","1,215.63","1,223.42","1,126.13","","-4.96%"
"05/31/2020","1,206.17","1,105.20","1,213.15","1,105.20","","9.46%"
"05/24/2020","1,101.91","1,049.07","1,118.99","1,049.07","","5.04%"
"05/17/2020","1,049.07","1,024.74","1,064.85","1,024.74","","3.71%"
"05/10/2020","1,011.55","1,029.13","1,037.20","988.91","","-2.65%"
"05/03/2020","1,039.10","1,009.82","1,040.09","1,004.97","","2.50%"
"04/26/2020","1,013.76","1,005.70","1,060.93","1,005.40","","1.28%"
"04/19/2020","1,000.94","993.77","1,010.56","973.58","","-0.23%"
"04/12/2020","1,003.21","1,009.02","1,025.61","964.77","","-0.54%"
"04/05/2020","1,008.67","937.62","1,013.06","937.62","","9.39%"
"03/29/2020","922.09","949.87","978.95","915.32","","-2.85%"
"03/22/2020","949.11","858.83","974.74","836.71","","10.52%"
"03/15/2020","858.79","891.42","926.88","834.00","","-12.97%"
"03/08/2020","986.76","1,083.99","1,090.19","905.07","","-14.30%"
"03/01/2020","1,151.45","1,148.55","1,210.48","1,139.86","","0.25%"
"02/23/2020","1,148.55","1,251.54","1,252.07","1,129.45","","-11.33%"
"02/16/2020","1,295.25","1,308.36","1,318.55","1,292.93","","-1.00%"
"02/09/2020","1,308.35","1,286.33","1,314.02","1,285.45","","1.58%"
"02/02/2020","1,288.02","1,266.17","1,303.00","1,266.10","","1.67%"
"01/26/2020","1,266.90","1,298.35","1,298.35","1,264.44","","-2.43%"
"01/19/2020","1,298.41","1,319.88","1,320.18","1,297.63","","-1.63%"
"01/12/2020","1,319.88","1,302.48","1,320.26","1,301.97","","1.44%"
"01/05/2020","1,301.12","1,289.21","1,305.71","1,288.40","","0.62%"
"12/29/2019","1,293.16","1,295.50","1,302.88","1,287.89","","-0.06%"
"12/22/2019","1,293.98","1,281.56","1,296.64","1,279.84","","1.14%"
"12/15/2019","1,279.37","1,274.36","1,282.58","1,270.01","","1.33%"
"12/08/2019","1,262.64","1,246.95","1,269.68","1,240.58","","1.09%"
"12/01/2019","1,248.97","1,240.87","1,249.54","1,226.26","","0.56%"
"11/24/2019","1,241.97","1,237.69","1,245.60","1,237.69","","0.49%"
"11/17/2019","1,235.88","1,231.97","1,243.43","1,231.51","","0.28%"
"11/10/2019","1,232.44","1,231.99","1,233.18","1,219.92","","-0.12%"
"11/03/2019","1,233.95","1,242.00","1,242.57","1,229.40","","0.16%"
"10/27/2019","1,231.93","1,223.68","1,233.02","1,218.78","","0.80%"
"10/20/2019","1,222.20","1,221.12","1,224.64","1,214.34","","0.35%"
"10/13/2019","1,217.89","1,190.21","1,218.66","1,190.17","","1.90%"
"10/06/2019","1,195.17","1,177.84","1,199.33","1,163.36","","1.60%"
"09/29/2019","1,176.35","1,192.03","1,196.71","1,154.62","","-1.38%"
"09/22/2019","1,192.81","1,192.39","1,198.52","1,177.62","","-0.47%"
"09/15/2019","1,198.48","1,197.14","1,205.04","1,189.05","","-0.39%"
"09/08/2019","1,203.17","1,179.96","1,205.56","1,176.09","","2.20%"
"09/01/2019","1,177.23","1,149.00","1,181.38","1,144.82","","2.46%"
"08/25/2019","1,149.00","1,138.53","1,153.86","1,130.24","","1.33%"
"08/18/2019","1,133.92","1,144.81","1,152.28","1,133.84","","-0.32%"
"08/11/2019","1,137.52","1,151.54","1,157.29","1,121.12","","-1.42%"
"08/04/2019","1,153.93","1,153.59","1,160.67","1,132.21","","-0.72%"
"07/28/2019","1,162.34","1,194.60","1,195.24","1,156.71","","-2.71%"
"07/21/2019","1,194.69","1,182.37","1,195.23","1,182.37","","1.28%"
"07/14/2019","1,179.58","1,186.74","1,192.02","1,179.52","","-0.35%"
"07/07/2019","1,183.75","1,196.68","1,198.21","1,180.84","","-1.20%"
"06/30/2019","1,198.15","1,199.67","1,207.77","1,193.97","","0.58%"
"06/23/2019","1,191.21","1,191.24","1,193.10","1,182.90","","0.07%"
"06/16/2019","1,190.39","1,160.36","1,193.71","1,159.30","","2.43%"
"06/09/2019","1,162.11","1,160.83","1,176.15","1,160.08","","0.19%"
"06/02/2019","1,159.85","1,128.74","1,163.07","1,127.01","","2.92%"
"05/26/2019","1,126.93","1,154.48","1,154.48","1,121.96","","-2.39%"
"05/19/2019","1,154.48","1,150.56","1,154.87","1,137.12","","0.28%"
"05/12/2019","1,151.31","1,141.52","1,159.70","1,130.95","","-0.15%"
"05/05/2019","1,152.99","1,171.90","1,180.55","1,143.74","","-2.95%"
"04/28/2019","1,188.05","1,178.86","1,189.81","1,176.14","","0.71%"
"04/21/2019","1,179.62","1,188.77","1,191.97","1,169.29","","-0.84%"
"04/14/2019","1,189.56","1,186.06","1,194.94","1,185.15","","0.69%"
"04/07/2019","1,181.40","1,178.99","1,184.03","1,174.69","","0.41%"
"03/31/2019","1,176.57","1,150.29","1,176.70","1,150.29","","2.28%"
"03/24/2019","1,150.29","1,145.01","1,150.54","1,139.98","","0.52%"
"03/17/2019","1,144.33","1,164.69","1,177.50","1,143.53","","-1.42%"
"03/10/2019","1,160.77","1,131.25","1,162.20","1,130.70","","2.69%"
"03/03/2019","1,130.35","1,153.30","1,154.98","1,126.04","","-1.99%"
"02/24/2019","1,153.26","1,146.29","1,156.49","1,145.62","","0.79%"
"02/17/2019","1,144.20","1,125.82","1,145.45","1,125.82","","1.63%"
"02/10/2019","1,125.82","1,098.79","1,125.85","1,096.96","","2.46%"
"02/03/2019","1,098.78","1,110.54","1,126.90","1,092.43","","-1.23%"
"01/27/2019","1,112.50","1,090.05","1,117.47","1,088.39","","1.75%"
"01/20/2019","1,093.33","1,093.77","1,095.76","1,080.24","","-0.04%"
"01/13/2019","1,093.78","1,072.11","1,095.93","1,069.81","","1.55%"
"01/06/2019","1,077.06","1,051.78","1,080.91","1,051.05","","1.99%"
"12/30/2018","1,056.07","1,029.62","1,056.50","1,021.62","","2.73%"
"12/23/2018","1,028.00","1,012.70","1,030.08","997.95","","1.62%"
"12/16/2018","1,011.64","1,031.69","1,038.93","1,010.59","","-1.92%"
"12/09/2018","1,031.43","1,041.01","1,057.60","1,028.08","","-0.86%"
"12/02/2018","1,040.36","1,087.10","1,097.62","1,039.67","","-4.30%"
"11/25/2018","1,087.10","1,072.41","1,090.05","1,070.76","","1.37%"
"11/18/2018","1,072.41","1,098.43","1,099.72","1,071.07","","-2.41%"
"11/11/2018","1,098.86","1,092.36","1,100.07","1,078.24","","-0.14%"
"11/04/2018","1,100.37","1,100.90","1,119.48","1,093.02","","-0.05%"
"10/28/2018","1,100.87","1,084.14","1,108.60","1,064.40","","1.92%"
"10/21/2018","1,080.14","1,122.62","1,123.89","1,068.44","","-3.81%"
"10/14/2018","1,122.91","1,123.86","1,144.00","1,114.28","","-0.05%"
"10/07/2018","1,123.44","1,147.51","1,153.47","1,114.88","","-2.80%"
"09/30/2018","1,155.83","1,168.94","1,175.27","1,152.37","","-0.83%"
"09/23/2018","1,165.46","1,176.28","1,184.88","1,164.16","","-0.92%"
"09/16/2018","1,176.28","1,148.71","1,178.57","1,147.21","","2.72%"
"09/09/2018","1,145.08","1,134.05","1,149.07","1,126.20","","1.35%"
"09/02/2018","1,129.82","1,156.07","1,156.07","1,127.49","","-2.27%"
"08/26/2018","1,156.07","1,166.67","1,180.37","1,153.51","","-0.57%"
"08/19/2018","1,162.75","1,139.59","1,163.65","1,139.59","","2.35%"
"08/12/2018","1,136.07","1,141.72","1,142.12","1,117.82","","-0.41%"
"08/05/2018","1,140.76","1,170.34","1,180.32","1,138.74","","-3.18%"
"07/29/2018","1,178.28","1,181.93","1,185.55","1,171.35","","-0.21%"
"07/22/2018","1,180.71","1,169.33","1,184.93","1,164.69","","0.95%"
"07/15/2018","1,169.60","1,159.82","1,170.49","1,156.26","","0.94%"
"07/08/2018","1,158.70","1,163.95","1,166.74","1,144.42","","-0.15%"
"07/01/2018","1,160.39","1,128.81","1,161.28","1,122.68","","2.15%"
"06/24/2018","1,135.94","1,140.20","1,140.27","1,115.05","","-0.96%"
"06/17/2018","1,146.99","1,151.24","1,151.24","1,124.65","","-0.37%"
"06/10/2018","1,151.28","1,151.11","1,164.10","1,146.14","","-0.06%"
"06/03/2018","1,152.02","1,150.79","1,159.56","1,144.99","","0.39%"
"05/27/2018","1,147.56","1,164.37","1,164.38","1,130.58","","-1.44%"
"05/20/2018","1,164.37","1,181.38","1,190.14","1,159.42","","-1.18%"
"05/13/2018","1,178.30","1,189.32","1,189.91","1,174.58","","-0.56%"
"05/06/2018","1,184.98","1,180.38","1,186.69","1,170.32","","0.32%"
"04/29/2018","1,181.15","1,190.12","1,191.77","1,171.31","","-0.85%"
"04/22/2018","1,191.26","1,200.99","1,200.99","1,178.13","","-0.81%"
"04/15/2018","1,200.99","1,195.89","1,214.67","1,195.89","","0.49%"
"04/08/2018","1,195.12","1,175.57","1,197.67","1,175.57","","1.65%"
"04/01/2018","1,175.72","1,174.43","1,183.28","1,152.95","","0.17%"
"03/25/2018","1,173.72","1,165.45","1,175.58","1,158.06","","1.77%"
"03/18/2018","1,153.29","1,186.90","1,186.90","1,152.61","","-3.16%"
"03/11/2018","1,190.93","1,195.17","1,200.20","1,188.14","","-0.35%"
"03/04/2018","1,195.16","1,181.85","1,196.31","1,171.78","","1.09%"
"02/25/2018","1,182.27","1,206.35","1,213.89","1,170.48","","-1.87%"
"02/18/2018","1,204.74","1,206.33","1,206.34","1,192.49","","-0.13%"
"02/11/2018","1,206.33","1,162.26","1,210.79","1,162.26","","3.98%"
"02/04/2018","1,160.15","1,214.17","1,216.17","1,137.11","","-4.96%"
"01/28/2018","1,220.67","1,263.74","1,263.74","1,220.66","","-3.41%"
"01/21/2018","1,263.74","1,244.51","1,264.12","1,244.47","","1.65%"
"01/14/2018","1,243.17","1,231.74","1,243.17","1,220.56","","0.93%"
"01/07/2018","1,231.74","1,218.79","1,232.22","1,206.70","","0.85%"
"12/31/2017","1,221.38","1,183.69","1,221.38","1,183.69","","3.18%"
"12/24/2017","1,183.69","1,175.49","1,187.77","1,174.90","","0.70%"
"12/17/2017","1,175.49","1,176.60","1,184.79","1,171.11","","0.77%"
"12/10/2017","1,166.53","1,166.87","1,170.69","1,161.90","","-0.02%"
"12/03/2017","1,166.72","1,173.91","1,177.05","1,163.39","","-0.42%"
"11/26/2017","1,171.68","1,175.95","1,177.33","1,166.81","","-0.56%"
"11/19/2017","1,178.25","1,156.41","1,179.86","1,154.27","","2.52%"
"11/12/2017","1,149.27","1,141.54","1,149.44","1,139.97","","0.03%"
"11/05/2017","1,148.98","1,152.34","1,159.01","1,145.09","","-0.72%"
"10/29/2017","1,157.33","1,148.41","1,160.86","1,148.41","","0.70%"
"10/22/2017","1,149.25","1,161.25","1,162.56","1,145.79","","-1.07%"
"10/15/2017","1,161.65","1,169.67","1,171.95","1,161.40","","-0.72%"
"10/08/2017","1,170.02","1,163.81","1,174.03","1,159.16","","0.24%"
"10/01/2017","1,167.24","1,164.60","1,171.05","1,162.87","","0.05%"
"09/24/2017","1,166.70","1,166.05","1,166.77","1,149.39","","-0.22%"
"09/17/2017","1,169.30","1,170.73","1,174.75","1,164.35","","0.01%"
"09/10/2017","1,169.17","1,165.76","1,171.07","1,162.78","","0.79%"
"09/03/2017","1,159.98","1,150.58","1,166.53","1,140.54","","0.86%"
"08/27/2017","1,150.07","1,149.33","1,152.08","1,138.69","","0.02%"
"08/20/2017","1,149.80","1,135.14","1,151.27","1,132.65","","1.47%"
"08/13/2017","1,133.17","1,136.04","1,143.25","1,129.27","","0.00%"
"08/06/2017","1,133.16","1,152.96","1,155.52","1,129.60","","-1.68%"
"07/30/2017","1,152.53","1,135.11","1,153.72","1,134.20","","1.54%"
"07/23/2017","1,135.02","1,130.60","1,140.05","1,125.43","","0.13%"
"07/16/2017","1,133.52","1,132.67","1,141.61","1,128.67","","-0.09%"
"07/09/2017","1,134.49","1,103.17","1,134.77","1,101.26","","2.74%"
"07/02/2017","1,104.27","1,105.02","1,107.61","1,096.62","","0.12%"
"06/25/2017","1,102.96","1,104.89","1,117.28","1,099.37","","0.17%"
"06/18/2017","1,101.11","1,108.63","1,114.18","1,095.10","","-0.63%"
"06/11/2017","1,108.09","1,105.60","1,118.04","1,093.58","","0.15%"
"06/04/2017","1,106.38","1,124.94","1,124.94","1,104.21","","-2.15%"
"05/28/2017","1,130.64","1,119.21","1,130.64","1,116.45","","1.02%"
"05/21/2017","1,119.21","1,120.84","1,127.40","1,118.36","","-0.04%"
"05/14/2017","1,119.70","1,105.81","1,124.64","1,098.65","","1.27%"
"05/07/2017","1,105.61","1,113.62","1,113.62","1,092.48","","-0.72%"
"04/30/2017","1,113.62","1,080.21","1,114.09","1,080.14","","3.12%"
"04/23/2017","1,079.91","1,065.46","1,090.64","1,065.46","","3.26%"
"04/16/2017","1,045.84","1,040.39","1,050.65","1,038.23","","0.56%"
"04/09/2017","1,040.06","1,044.94","1,048.64","1,039.54","","-0.52%"
"04/02/2017","1,045.51","1,053.99","1,053.99","1,043.00","","-0.79%"
"03/26/2017","1,053.87","1,049.08","1,057.05","1,047.71","","0.79%"
"03/19/2017","1,045.66","1,047.35","1,053.05","1,037.18","","-0.16%"
"03/12/2017","1,047.34","1,026.28","1,048.33","1,020.10","","2.17%"
"03/05/2017","1,025.07","1,018.25","1,025.47","1,008.20","","0.34%"
"02/26/2017","1,021.58","996.94","1,021.98","995.89","","2.24%"
"02/19/2017","999.20","1,003.35","1,010.71","995.98","","-0.41%"
"02/12/2017","1,003.35","990.36","1,006.02","988.42","","1.27%"
"02/05/2017","990.76","995.87","995.87","983.40","","-1.13%"
"01/29/2017","1,002.11","990.28","1,002.11","984.90","","0.44%"
"01/22/2017","997.71","977.91","999.68","976.60","","1.88%"
"01/15/2017","979.26","979.24","979.88","969.76","","0.00%"
"01/08/2017","979.24","975.40","980.17","965.24","","0.18%"
"01/01/2017","977.45","959.64","982.96","957.29","","1.86%"
"12/25/2016","959.64","950.27","964.12","945.07","","0.99%"
"12/18/2016","950.27","948.43","951.50","946.06","","0.17%"
"12/11/2016","948.67","949.94","963.51","943.60","","-0.29%"
"12/04/2016","951.46","914.23","951.68","914.23","","4.47%"
"11/27/2016","910.75","912.62","917.27","906.65","","-0.96%"
"11/20/2016","919.60","916.41","922.68","908.34","","0.46%"
"11/13/2016","915.35","928.53","934.12","914.40","","-2.11%"
"11/06/2016","935.06","926.23","950.92","926.23","","0.95%"
"10/30/2016","926.23","952.27","953.77","925.87","","-2.71%"
"10/23/2016","952.05","952.53","957.18","946.71","","-0.05%"
"10/16/2016","952.53","947.52","956.88","942.36","","0.51%"
"10/09/2016","947.66","961.09","966.70","935.38","","-1.31%"
"10/02/2016","960.24","963.34","970.10","955.84","","-0.09%"
"09/25/2016","961.12","969.44","969.44","945.26","","-0.86%"
"09/18/2016","969.44","938.73","977.61","938.73","","3.50%"
"09/11/2016","936.66","955.13","963.36","934.36","","-2.18%"
"09/04/2016","957.52","969.94","979.70","957.27","","-1.28%"
"08/28/2016","969.94","949.93","970.62","947.56","","2.07%"
"08/21/2016","950.30","963.70","969.41","947.07","","-1.39%"
"08/14/2016","963.70","966.75","972.88","956.65","","-0.32%"
"08/07/2016","966.75","945.86","970.83","945.30","","2.21%"
"07/31/2016","945.86","948.67","949.07","931.24","","-0.48%"
"07/24/2016","950.45","932.04","950.78","928.41","","2.05%"
"07/17/2016","931.37","942.40","943.22","926.74","","-1.17%"
"07/10/2016","942.41","916.55","948.74","916.55","","3.15%"
"07/03/2016","913.65","933.39","933.39","892.42","","-2.11%"
"06/26/2016","933.39","889.38","934.78","858.00","","4.95%"
"06/19/2016","889.38","921.66","975.27","887.55","","-3.50%"
"06/12/2016","921.66","929.50","929.50","890.81","","-1.52%"
"06/05/2016","935.92","965.55","979.11","933.56","","-3.07%"
"05/29/2016","965.55","965.29","967.47","953.03","","0.03%"
"05/22/2016","965.29","930.27","967.15","928.84","","3.66%"
"05/15/2016","931.18","936.02","938.18","920.91","","0.31%"
"05/08/2016","928.33","931.12","946.57","927.79","","-0.30%"
"05/01/2016","931.12","960.73","965.05","925.23","","-2.70%"
