"Date","Price","Open","High","Low","Vol.","Change %"
"04/10/2022","211.70","225.00","226.30","210.20","1.81K","-3.90%"
"04/03/2022","220.30","239.50","239.50","215.70","2.06K","-3.08%"
"03/27/2022","227.29","230.20","249.80","227.20","2.37K","-2.61%"
"03/20/2022","233.38","244.50","245.35","224.89","9.79K","-4.96%"
"03/13/2022","245.55","232.49","245.55","218.13","24.63K","13.84%"
"03/06/2022","215.70","203.00","235.95","187.06","70.62K","6.76%"
"02/27/2022","202.04","242.28","245.90","202.04","3.28K","-16.68%"
"02/20/2022","242.50","257.03","259.00","231.32","1.90K","-9.51%"
"02/13/2022","268.00","268.72","275.80","252.25","3.89K","2.39%"
"02/06/2022","261.75","281.05","285.80","261.75","1.74K","-5.56%"
"01/30/2022","277.15","270.80","287.00","262.20","6.21K","3.69%"
"01/23/2022","267.30","277.50","282.37","254.87","5.78K","-6.59%"
"01/16/2022","286.15","293.80","298.00","280.00","5.83K","-0.02%"
"01/09/2022","286.20","285.50","300.75","270.67","141.51K","-0.62%"
"01/02/2022","288.00","285.75","299.90","275.00","4.02K","-0.61%"
"12/26/2021","289.76","290.00","297.55","279.81","4.57K","-1.14%"
"12/19/2021","293.10","281.47","293.10","267.00","","4.31%"
"12/12/2021","281.00","290.00","294.23","271.71","1.37K","-1.40%"
"12/05/2021","285.00","292.75","301.25","280.60","4.31K","-0.25%"
"11/28/2021","285.72","294.84","300.30","275.20","4.16K","-0.72%"
"11/21/2021","287.80","315.50","316.99","284.71","4.04K","-9.13%"
"11/14/2021","316.70","327.90","328.75","315.90","2.12K","-0.47%"
"11/07/2021","318.20","343.68","344.80","314.53","4.95K","-8.15%"
"10/31/2021","346.44","330.80","346.78","324.70","2.35K","5.46%"
"10/24/2021","328.50","324.55","333.66","320.69","7.58K","1.26%"
"10/17/2021","324.40","311.87","325.64","310.60","2.65K","1.17%"
"10/10/2021","320.65","305.17","320.65","298.06","0.89K","4.57%"
"10/03/2021","306.65","310.70","314.48","300.00","1.81K","-1.71%"
"09/26/2021","312.00","327.71","336.06","311.20","3.64K","-5.56%"
"09/19/2021","330.36","327.93","346.99","323.00","1.79K","-0.20%"
"09/12/2021","331.01","352.16","356.48","330.08","0.96K","-8.64%"
"09/05/2021","362.30","355.71","362.30","350.00","3.19K","1.98%"
"08/29/2021","355.27","356.68","364.80","350.08","1.38K","-0.82%"
"08/22/2021","358.20","357.75","365.35","351.51","0.95K","1.99%"
"08/15/2021","351.20","368.59","383.30","350.01","0.50K","-5.46%"
"08/08/2021","371.47","382.30","385.55","350.00","1.80K","-0.67%"
"08/01/2021","373.97","372.16","405.55","363.30","1.26K","5.47%"
"07/25/2021","354.58","365.75","381.30","354.01","0.91K","-5.15%"
"07/18/2021","373.85","359.16","378.15","352.50","0.88K","0.23%"
"07/11/2021","373.00","379.36","389.25","364.58","1.05K","1.38%"
"07/04/2021","367.94","373.35","386.75","360.97","0.77K","-2.33%"
"06/27/2021","376.70","372.12","384.79","361.42","2.13K","2.09%"
"06/20/2021","369.00","346.04","373.00","340.20","1.11K","7.58%"
"06/13/2021","343.00","354.50","373.00","338.76","1.49K","-6.09%"
"06/06/2021","365.25","361.60","372.80","350.00","56.01K","-1.90%"
"05/30/2021","372.32","365.79","375.25","349.80","1.34K","0.19%"
"05/23/2021","371.60","368.00","384.99","348.35","23.16K","0.43%"
"05/16/2021","370.00","358.32","384.99","339.75","1.56K","4.40%"
"05/09/2021","354.40","361.40","361.40","328.00","3.05K","3.59%"
"05/02/2021","342.12","314.94","349.95","304.01","3.05K","9.72%"
"04/25/2021","311.80","323.89","323.89","305.50","34.51K","-3.24%"
"04/18/2021","322.25","335.39","338.27","319.44","15.65K","-4.60%"
"04/11/2021","337.80","339.80","340.00","325.01","1.08K","2.52%"
"04/04/2021","329.50","328.10","339.80","315.90","6.21K","4.37%"
"03/28/2021","315.70","308.00","328.10","299.38","1.89K","0.61%"
"03/21/2021","313.80","336.86","346.90","300.10","1.64K","-7.92%"
"03/14/2021","340.80","354.44","354.80","331.93","3.08K","-5.00%"
"03/07/2021","358.72","328.78","368.04","328.78","5.16K","11.06%"
"02/28/2021","323.01","354.20","358.99","323.01","2.45K","-8.62%"
"02/21/2021","353.49","365.15","365.15","339.65","4.76K","-0.20%"
"02/14/2021","354.20","355.10","369.05","337.05","1.36K","-0.92%"
"02/07/2021","357.50","339.70","358.30","336.64","52.52K","5.46%"
"01/31/2021","338.99","328.15","338.99","317.23","3.75K","6.77%"
"01/24/2021","317.50","331.87","341.00","315.54","1.22K","-7.03%"
"01/17/2021","341.49","350.70","363.65","338.41","2.98K","-0.67%"
"01/10/2021","343.80","351.05","356.00","338.00","5.27K","-4.79%"
"01/03/2021","361.10","366.42","406.19","350.50","9.87K","-1.20%"
"12/27/2020","365.50","352.20","374.15","352.20","0.62K","5.50%"
"12/20/2020","346.45","351.63","360.30","346.45","1.51K","-3.79%"
"12/13/2020","360.09","349.00","367.35","346.00","0.93K","4.77%"
"12/06/2020","343.70","335.73","351.50","335.73","1.03K","3.79%"
"11/29/2020","331.14","326.00","333.00","322.59","0.33K","1.59%"
"11/22/2020","325.95","332.42","332.42","325.82","1.52K","-2.05%"
"11/15/2020","332.78","329.26","339.99","321.81","0.32K","4.21%"
"11/08/2020","319.33","359.89","359.97","315.33","4.74K","-4.36%"
"11/01/2020","333.89","302.03","333.90","297.70","1.13K","10.56%"
"10/25/2020","301.99","332.00","332.00","300.00","1.53K","-9.42%"
"10/18/2020","333.40","332.61","338.96","321.39","1.93K","4.61%"
"10/11/2020","318.70","335.29","339.15","318.50","0.46K","-2.81%"
"10/04/2020","327.90","319.64","333.18","319.64","0.34K","0.91%"
"09/27/2020","324.94","331.37","333.50","319.95","2.09K","-0.87%"
"09/20/2020","327.80","323.37","335.50","312.45","20.10K","-2.86%"
"09/13/2020","337.46","328.96","338.00","322.35","1.47K","6.02%"
"09/06/2020","318.30","304.98","328.10","303.00","0.65K","0.41%"
"08/30/2020","317.00","302.00","324.00","298.00","0.55K","4.36%"
"08/23/2020","303.75","304.37","309.49","299.96","1.58K","0.02%"
"08/16/2020","303.69","316.00","323.50","299.04","0.83K","-3.36%"
"08/09/2020","314.25","300.00","319.19","296.50","3.76K","6.89%"
"08/02/2020","294.00","281.21","294.23","272.47","0.38K","7.31%"
"07/26/2020","273.96","283.89","288.00","272.00","8.60K","-2.85%"
"07/19/2020","282.00","271.85","286.23","271.85","1.27K","4.74%"
"07/12/2020","269.25","273.68","280.51","263.26","0.53K","2.18%"
"07/05/2020","263.50","277.42","285.39","262.50","2.03K","-4.36%"
"06/28/2020","275.50","261.03","276.00","256.85","2.39K","3.63%"
"06/21/2020","265.85","260.79","279.35","260.50","13.30K","-2.26%"
"06/14/2020","271.99","254.82","275.95","254.82","1.80K","4.31%"
"06/07/2020","260.75","297.00","297.00","253.35","11.57K","-13.08%"
"05/31/2020","300.00","269.30","302.80","265.50","4.91K","14.42%"
"05/24/2020","262.20","250.00","268.30","249.50","1.70K","9.57%"
"05/17/2020","239.31","226.50","242.96","226.50","4.69K","12.08%"
"05/10/2020","213.51","224.93","227.50","205.00","9.89K","-7.17%"
"05/03/2020","230.00","214.00","234.96","211.00","21.46K","-2.02%"
"04/26/2020","234.75","221.00","234.95","218.00","66.13K","4.82%"
"04/19/2020","223.96","239.00","242.80","217.79","0.92K","-4.90%"
"04/12/2020","235.51","250.00","255.00","227.20","9.42K","-5.32%"
"04/05/2020","248.75","212.26","249.00","212.26","20.60K","24.38%"
"03/29/2020","200.00","222.41","233.50","197.00","60.85K","-13.61%"
"03/22/2020","231.50","200.50","241.50","187.00","39.36K","17.96%"
"03/15/2020","196.25","172.80","210.95","172.25","8.68K","3.04%"
"03/08/2020","190.46","252.50","270.00","187.25","10.47K","-28.88%"
"03/01/2020","267.80","279.29","284.60","267.60","18.04K","-1.90%"
"02/23/2020","273.00","290.00","295.00","264.85","2.93K","-10.47%"
"02/16/2020","304.91","308.32","318.36","304.54","2.14K","-3.17%"
"02/09/2020","314.90","316.40","318.00","310.20","3.25K","-1.59%"
"02/02/2020","320.00","314.87","324.07","313.00","1.33K","0.95%"
"01/26/2020","316.99","334.15","334.20","312.65","0.96K","-7.61%"
"01/19/2020","343.11","347.19","349.11","341.05","0.28K","-1.69%"
"01/12/2020","349.00","341.81","357.00","341.81","12.29K","1.11%"
"01/05/2020","345.18","323.24","346.60","323.24","4.13K","7.02%"
"12/29/2019","322.55","326.49","327.00","322.55","0.23K","-2.67%"
"12/22/2019","331.40","327.00","331.40","317.85","0.81K","1.35%"
"12/15/2019","327.00","317.93","327.00","316.60","0.39K","6.34%"
"12/08/2019","307.50","305.00","312.09","303.02","0.90K","-0.80%"
"12/01/2019","309.98","306.50","310.98","302.00","0.71K","-1.59%"
"11/24/2019","315.00","305.43","315.00","303.00","0.65K","4.54%"
"11/17/2019","301.33","299.00","303.12","299.00","0.90K","0.75%"
"11/10/2019","299.10","298.00","299.10","290.05","1.36K","-1.25%"
"11/03/2019","302.88","318.00","319.53","296.22","1.01K","-3.94%"
"10/27/2019","315.30","311.93","315.30","305.22","1.20K","2.87%"
"10/20/2019","306.50","316.82","316.82","301.00","4.98K","-3.27%"
"10/13/2019","316.86","309.96","317.70","309.95","0.94K","2.34%"
"10/06/2019","309.60","296.72","311.50","296.72","1.93K","4.69%"
"09/29/2019","295.73","309.71","310.49","293.42","0.41K","-4.14%"
"09/22/2019","308.50","300.52","312.70","297.58","2.19K","3.04%"
"09/15/2019","299.40","294.32","307.06","294.32","1.16K","-0.01%"
"09/08/2019","299.42","309.43","311.40","295.82","0.61K","-1.97%"
"09/01/2019","305.43","301.35","305.43","293.85","0.24K","2.25%"
"08/25/2019","298.72","293.44","300.50","290.39","5.74K","2.37%"
"08/18/2019","291.81","288.01","296.21","285.30","1.12K","2.82%"
"08/11/2019","283.82","290.85","296.44","281.60","2.49K","-1.95%"
"08/04/2019","289.45","303.51","307.45","284.66","1.16K","-7.15%"
"07/28/2019","311.73","323.83","329.56","311.00","0.43K","-3.27%"
"07/21/2019","322.26","314.77","322.26","314.51","3.59K","3.69%"
"07/14/2019","310.80","314.51","316.88","310.75","1.44K","-0.04%"
"07/07/2019","310.91","311.77","318.00","310.91","2.60K","0.69%"
"06/30/2019","308.78","313.00","313.62","305.57","3.16K","-1.52%"
"06/23/2019","313.55","300.49","313.55","300.00","1.03K","2.87%"
"06/16/2019","304.81","293.46","307.56","293.46","0.15K","3.53%"
"06/09/2019","294.42","302.00","302.00","289.45","1.29K","-1.60%"
"06/02/2019","299.20","291.14","299.20","287.37","0.15K","4.00%"
"05/26/2019","287.70","297.26","297.58","285.00","0.50K","-1.14%"
"05/19/2019","291.02","283.18","295.26","283.18","1.03K","1.45%"
"05/12/2019","286.86","276.23","286.86","272.40","5.72K","-0.05%"
"05/05/2019","287.00","275.60","290.00","275.60","2.01K","3.33%"
"04/28/2019","277.75","256.41","281.45","252.10","23.90K","8.26%"
"04/21/2019","256.56","265.25","269.15","253.00","0.40K","-1.14%"
"04/14/2019","259.51","255.90","264.81","255.90","0.02K","2.38%"
"04/07/2019","253.47","256.26","256.80","251.90","0.25K","-1.34%"
"03/31/2019","256.90","242.32","257.33","242.32","11.96K","6.24%"
"03/24/2019","241.82","238.20","245.50","237.00","0.84K","2.90%"
"03/17/2019","235.00","234.75","240.00","234.75","2.31K","-2.08%"
"03/10/2019","240.00","241.20","241.20","229.45","1.28K","1.69%"
"03/03/2019","236.00","246.93","248.35","236.00","1.35K","-4.24%"
"02/24/2019","246.45","239.23","246.45","235.01","2.56K","7.39%"
"02/17/2019","229.50","228.35","232.90","228.35","0.85K","3.61%"
"02/10/2019","221.50","223.00","229.60","221.00","0.75K","-1.99%"
"02/03/2019","226.00","224.03","233.05","223.20","0.08K","-0.04%"
"01/27/2019","226.10","229.82","238.51","225.75","1.60K","-3.38%"
"01/20/2019","234.00","232.55","237.55","228.00","30.62K","1.61%"
"01/13/2019","230.30","226.51","230.30","224.00","4.19K","3.53%"
"01/06/2019","222.45","216.08","224.80","216.05","0.43K","2.78%"
"12/30/2018","216.44","211.35","219.30","206.80","0.96K","6.36%"
"12/23/2018","203.50","204.50","207.46","201.55","56.25K","-1.45%"
"12/16/2018","206.50","215.55","216.11","204.45","2.33K","-6.97%"
"12/09/2018","221.96","223.41","228.66","221.96","0.51K","0.32%"
"12/02/2018","221.26","227.70","227.70","217.96","0.46K","1.14%"
"11/25/2018","218.76","229.20","229.36","218.76","0.35K","-3.70%"
"11/18/2018","227.17","229.45","233.50","226.40","0.60K","-3.86%"
"11/11/2018","236.28","228.33","236.36","227.88","0.22K","2.51%"
"11/04/2018","230.49","237.11","238.14","227.08","1.64K","-3.21%"
"10/28/2018","238.14","236.41","238.63","226.94","0.44K","2.30%"
"10/21/2018","232.79","227.79","236.80","223.92","40.27K","-0.33%"
"10/14/2018","233.55","225.00","235.97","224.00","2.01K","4.34%"
"10/07/2018","223.84","237.66","238.50","220.28","5.20K","-7.12%"
"09/30/2018","241.00","246.35","250.00","240.00","0.40K","-2.18%"
"09/23/2018","246.37","245.17","249.17","242.40","2.27K","0.49%"
"09/16/2018","245.17","241.56","248.51","241.56","0.17K","0.58%"
"09/09/2018","243.75","242.95","247.52","240.25","5.24K","1.51%"
"09/02/2018","240.12","245.59","246.62","237.50","3.84K","-2.98%"
"08/26/2018","247.50","248.92","255.18","247.33","11.25K","0.32%"
"08/19/2018","246.72","237.76","248.00","237.76","0.95K","5.38%"
"08/12/2018","234.12","240.60","240.60","232.00","4.43K","0.58%"
"08/05/2018","232.77","219.85","245.76","216.04","2.60K","6.68%"
"07/29/2018","218.19","224.03","224.03","215.00","5.05K","0.67%"
"07/22/2018","216.73","219.76","223.00","216.73","0.85K","-1.93%"
"07/15/2018","221.00","221.00","222.62","215.62","0.48K","0.45%"
"07/08/2018","220.00","212.37","220.00","212.00","0.17K","2.16%"
"07/01/2018","215.34","215.24","218.00","209.73","0.68K","-0.78%"
"06/24/2018","217.04","223.00","223.52","210.04","0.56K","-2.87%"
"06/17/2018","223.46","226.76","228.34","217.76","1.01K","-4.50%"
"06/10/2018","234.00","231.54","235.61","228.17","2.41K","0.34%"
"06/03/2018","233.20","231.30","241.00","226.22","7.40K","3.17%"
"05/27/2018","226.04","226.26","229.58","223.00","0.69K","1.04%"
"05/20/2018","223.71","233.92","233.92","223.71","0.92K","-1.75%"
"05/13/2018","227.70","224.26","232.34","221.91","0.79K","-0.13%"
"05/06/2018","228.00","230.53","234.50","223.97","0.57K","-1.44%"
"04/29/2018","231.32","248.79","250.00","227.15","10.21K","-7.29%"
"04/22/2018","249.50","260.18","260.18","244.50","4.96K","-3.88%"
"04/15/2018","259.57","261.01","267.97","256.25","6.28K","0.22%"
"04/08/2018","259.00","246.78","259.00","246.78","21.49K","3.54%"
"04/01/2018","250.15","241.00","251.25","239.18","20.87K","2.00%"
"03/25/2018","245.25","244.39","245.25","235.82","0.69K","1.12%"
"03/18/2018","242.54","239.60","246.50","234.54","2.46K","-0.21%"
"03/11/2018","243.04","212.00","243.04","209.35","2.48K","14.54%"
"03/04/2018","212.18","216.47","219.74","211.86","0.48K","-0.18%"
"02/25/2018","212.56","221.75","226.88","212.56","1.43K","-4.17%"
"02/18/2018","221.80","224.00","226.90","221.80","0.34K","-1.86%"
"02/11/2018","226.00","221.10","226.00","215.35","0.52K","2.52%"
"02/04/2018","220.44","223.22","227.97","212.13","4.13K","-2.59%"
"01/28/2018","226.30","227.39","233.50","224.15","0.81K","-0.61%"
"01/21/2018","227.68","225.30","230.50","221.20","30.67K","2.56%"
"01/14/2018","222.00","205.60","226.10","202.30","3.00K","6.93%"
"01/07/2018","207.61","209.20","209.20","199.00","8.89K","-0.65%"
"12/31/2017","208.96","201.30","209.05","199.50","1.38K","4.71%"
"12/24/2017","199.56","199.00","204.80","199.00","0.29K","-1.43%"
"12/17/2017","202.46","203.55","206.00","200.00","1.73K","0.46%"
"12/10/2017","201.54","209.20","209.20","197.29","1.55K","-5.87%"
"12/03/2017","214.10","209.39","214.10","207.25","2.16K","2.88%"
"11/26/2017","208.10","216.00","216.41","207.50","3.34K","-2.76%"
"11/19/2017","214.00","218.46","221.00","213.20","1.64K","-2.95%"
"11/12/2017","220.50","218.60","222.01","218.60","0.28K","5.20%"
"11/05/2017","209.60","210.75","215.50","203.05","33.61K","-4.07%"
