"Date","Price","Open","High","Low","Vol.","Change %"
"02/28/2021","31,496.30","31,065.90","31,668.34","30,547.53","2.20B","1.82%"
"02/21/2021","30,932.37","31,381.12","32,009.64","30,911.37","2.26B","-1.78%"
"02/14/2021","31,494.32","31,472.08","31,647.53","31,285.32","1.36B","0.11%"
"02/07/2021","31,458.40","31,191.20","31,543.82","31,191.20","1.52B","1.00%"
"01/31/2021","31,148.24","30,054.73","31,252.18","30,014.97","1.63B","3.89%"
"01/24/2021","29,982.62","30,989.85","31,121.42","29,856.30","2.43B","-3.27%"
"01/17/2021","30,996.98","30,887.42","31,272.22","30,865.03","1.63B","0.59%"
"01/10/2021","30,814.26","31,015.37","31,223.78","30,612.67","2.01B","-0.91%"
"01/03/2021","31,097.97","30,627.47","31,193.40","29,881.82","2.14B","1.61%"
"12/27/2020","30,606.48","30,283.23","30,637.47","30,274.24","1.25B","1.35%"
"12/20/2020","30,199.87","30,159.00","30,304.14","29,755.53","1.26B","0.07%"
"12/13/2020","30,179.05","30,123.91","30,343.59","29,849.15","2.28B","0.44%"
"12/06/2020","30,046.37","30,233.03","30,319.70","29,820.84","1.79B","-0.57%"
"11/29/2020","30,218.26","29,854.51","30,218.26","29,463.64","2.16B","1.03%"
"11/22/2020","29,910.37","29,332.82","30,116.51","29,332.82","1.33B","2.21%"
"11/15/2020","29,263.48","29,672.36","29,964.29","29,228.38","1.82B","-0.73%"
"11/08/2020","29,479.81","29,467.90","29,933.83","28,902.13","2.31B","4.08%"
"11/01/2020","28,323.40","26,691.28","28,495.05","26,691.28","1.91B","6.87%"
"10/25/2020","26,501.60","28,185.82","28,185.82","26,143.77","2.22B","-6.47%"
"10/18/2020","28,335.57","28,633.55","28,711.93","28,040.18","1.70B","-0.95%"
"10/11/2020","28,606.31","28,671.12","28,957.90","28,181.54","2.08B","0.07%"
"10/04/2020","28,586.90","27,825.42","28,676.29","27,728.03","1.73B","3.27%"
"09/27/2020","27,682.81","27,362.14","28,041.46","27,338.09","1.94B","1.87%"
"09/20/2020","27,173.96","27,484.71","27,484.71","26,537.01","2.25B","-1.75%"
"09/13/2020","27,657.42","27,718.74","28,364.77","27,487.97","2.36B","-0.03%"
"09/06/2020","27,665.64","27,925.23","28,206.21","27,447.08","1.94B","-1.66%"
"08/30/2020","28,133.31","28,643.66","29,199.35","27,664.68","2.85B","-1.82%"
